Student_ID,Name,Mode,Online_Rating,Offline_Rating,Internet_Issue,Performance,Preferred
1,Sneha74,Offline,3,5,No,61,Offline
2,Sai989,Offline,2,3,No,73,Offline
3,Keerthi232,Offline,4,5,Yes,75,Offline
4,Ramesh7,Offline,5,5,No,76,Offline
5,Lahari942,Online,4,3,No,83,Online
6,Naresh325,Online,2,3,Yes,63,Offline
7,Kiran16,Offline,5,4,Yes,67,Online
8,Aishwarya602,Online,5,5,No,60,Offline
9,Divya558,Offline,3,5,No,79,Offline
10,Pooja902,Online,2,5,Yes,89,Offline
11,Anil44,Online,5,5,Yes,78,Offline
12,Kavya733,Online,5,3,Yes,83,Online
13,Suresh53,Offline,4,3,Yes,75,Online
14,Lahari185,Online,4,4,Yes,89,Offline
15,Sneha430,Offline,5,5,No,70,Offline
16,Priya269,Offline,5,4,No,89,Online
17,Charan931,Online,3,4,Yes,67,Offline
18,Rahul898,Offline,3,5,Yes,77,Offline
19,Arjun125,Offline,4,3,Yes,72,Online
20,Sneha327,Offline,5,5,No,68,Offline
21,Teja604,Offline,5,4,Yes,64,Online
22,Ramesh558,Offline,4,4,Yes,83,Offline
23,Varun529,Offline,2,3,Yes,90,Offline
24,Aishwarya816,Online,2,5,Yes,68,Offline
25,Deepika651,Offline,4,4,Yes,72,Offline
26,Anil377,Online,4,4,No,78,Offline
27,Kiran711,Offline,4,3,Yes,60,Online
28,Aishwarya133,Offline,3,3,Yes,72,Offline
29,Suresh230,Online,4,4,Yes,90,Offline
30,Priya454,Offline,4,4,Yes,73,Offline
31,Bhavya996,Online,2,4,Yes,89,Offline
32,Anil70,Offline,3,4,Yes,73,Offline
33,Lahari770,Offline,4,5,No,73,Offline
34,Pooja210,Offline,4,5,Yes,68,Offline
35,Swathi799,Online,3,5,No,85,Offline
36,Meghana112,Online,2,5,Yes,80,Offline
37,Varun168,Offline,4,3,Yes,69,Online
38,Teja977,Online,3,3,No,73,Offline
39,Arjun648,Online,5,3,Yes,72,Online
40,Pooja120,Online,3,3,Yes,84,Offline
41,Deepika939,Offline,3,3,Yes,67,Offline
42,Varun349,Offline,3,3,No,74,Offline
43,Sneha200,Offline,4,3,No,63,Online
44,Mahesh358,Online,4,4,No,85,Offline
45,Vijay464,Online,2,3,Yes,86,Offline
46,Varun883,Online,5,4,No,81,Online
47,Vamsi711,Offline,5,5,Yes,61,Offline
48,Charan975,Online,2,5,Yes,67,Offline
49,Teja637,Online,4,4,Yes,74,Offline
50,Deepika471,Offline,2,5,Yes,86,Offline
51,Deepika589,Offline,5,3,Yes,64,Online
52,Meghana573,Offline,3,3,No,67,Offline
53,Mahesh705,Offline,2,3,No,82,Offline
54,Kavya682,Online,3,3,No,74,Offline
55,Rahul722,Online,5,4,No,77,Online
56,Pooja353,Offline,2,4,Yes,71,Offline
57,Kavya205,Online,2,3,No,79,Offline
58,Deepika803,Offline,5,3,Yes,89,Online
59,Shilpa419,Online,5,4,No,86,Online
60,Sai648,Online,4,5,Yes,86,Offline
